"Incident Number","Day and Month Reported","Year Reported","Police Shift","Offense Code","Offense Type","Offense Definition","Offense Sub-Category","Offense Category","Block Code","Ward"
"25054700","9/4","2025","Day Shift (8AM - 4PM)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173512031003","2              "
"23058540","10/11","2023","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061004","1              "
"17007485","2/5","2017","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501071010","1              "
"17008239","2/9","2017","Last Half (Midnight - 8AM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173501051013","4              "
"17013302","3/3","2017","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173501071021","1              "
"17014780","3/10","2017","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173510012004","2              "
"17021440","4/12","2017","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173506003001","7              "
"17022560","4/17","2017","Day Shift (8AM - 4PM)","26A","False Pretenses/Swindle/Game","The intentional misrepresentation of existing fact or condition or the use of some other deceptive scheme or device to obtain money, goods, or other things of value. Only includes fraud offenses that do not fit any of the definitions of the specific subcategories of fraud.","Fraud Offenses","Crimes against Property","250173506003007","7              "
"17032503","6/1","2017","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173501091019","4              "
"17035831","6/15","2017","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173509003008","6              "
"17036401","6/17","2017","First Half (4PM - Midnight)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173515001007","2              "
"17040152","7/3","2017","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173509003017","6              "
"17041423","7/9","2017","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509003008","6              "
"17043586","7/18","2017","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061016","1              "
"17053066","8/28","2017","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173502022001","4              "
"17054472","9/3","2017","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173515004004","1              "
"17055082","9/6","2017","Day Shift (8AM - 4PM)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173504002000","5              "
"17056291","9/11","2017","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173510013009","2              "
"17058155","9/19","2017","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061015","1              "
"17061530","10/4","2017","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173515003003","2              "
"17062872","10/11","2017","First Half (4PM - Midnight)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173501071001","1              "
"17074667","12/11","2017","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173510021002","5              "
"17075372","12/14","2017","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173501061006","1              "
"17076445","12/19","2017","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173508002000","7              "
"17000070","1/1","2017","Day Shift (8AM - 4PM)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173513002007","3              "
"18003361","1/17","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512032001","2              "
"18003991","1/20","2018","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173509003009","6              "
"18004974","1/25","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"17000083","1/1","2017","Day Shift (8AM - 4PM)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173509003007","6              "
"18009571","2/16","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061015","1              "
"18025060","4/28","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173502023006","4              "
"18025960","5/2","2018","First Half (4PM - Midnight)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173510013013","2              "
"18037972","6/25","2018","First Half (4PM - Midnight)","23A","Pocket-Picking","The theft of articles from another person's physical possession by stealth where the victim is not immediately aware a theft occurred.","Larceny/Theft Offenses","Crimes against Property","250173509003017","6              "
"18038594","6/28","2018","First Half (4PM - Midnight)","90C","Disorderly Conduct","Any behavior that tends to disturb the public peace or decorum, scandalize the community, or shock the public sense of morality.","Disorderly Conduct","Other","250173511013006","3              "
"18040425","7/7","2018","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173510021003","5              "
"18044219","7/25","2018","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512034007","2              "
"18053741","9/8","2018","Day Shift (8AM - 4PM)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173515003003","2              "
"18058653","10/1","2018","First Half (4PM - Midnight)","120","Robbery","The taking of anything of value from the control, custody, or care of another person by force or threat of force and/or by putting the victim in fear of immediate harm.","Robbery","Crimes against Property","250173501061012","1              "
"18059996","10/8","2018","First Half (4PM - Midnight)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173501091021","4              "
"18062920","10/23","2018","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"18066410","11/8","2018","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173514032000","1              "
"18067204","11/12","2018","Day Shift (8AM - 4PM)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173501061004","1              "
"18075892","12/27","2018","Last Half (Midnight - 8AM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173507013003","7              "
"19009292","2/19","2019","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173510022002","5              "
"19010954","2/28","2019","Last Half (Midnight - 8AM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173511013004","3              "
"19020061","4/12","2019","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"17000148","1/1","2017","First Half (4PM - Midnight)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173512041003","2              "
"19022783","4/25","2019","First Half (4PM - Midnight)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173504004008","6              "
"19024693","5/5","2019","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173509003008","6              "
"19026637","5/15","2019","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173503001001","5              "
"17000150","1/1","2017","First Half (4PM - Midnight)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173504001003","6              "
"17000155","1/2","2017","Last Half (Midnight - 8AM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"19032542","6/10","2019","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061012","1              "
"19034200","6/18","2019","Last Half (Midnight - 8AM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501091017","1              "
"19039722","7/13","2019","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173510021000","5              "
"19040911","7/18","2019","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061015","1              "
"19048515","8/24","2019","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173513003003","3              "
"17000258","1/2","2017","First Half (4PM - Midnight)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173515003005","2              "
"19053960","9/19","2019","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173503003007","5              "
"19056103","9/29","2019","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061016","1              "
"19056665","10/2","2019","Day Shift (8AM - 4PM)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173514042000","1              "
"19057458","10/6","2019","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061016","1              "
"19057862","10/8","2019","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173514032005","1              "
"19061118","10/24","2019","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173513002010","3              "
"19062683","11/1","2019","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"17000296","1/2","2017","First Half (4PM - Midnight)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173502021003","5              "
"17000366","1/3","2017","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512034005","2              "
"20003480","1/20","2020","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173513003000","3              "
"17000566","1/4","2017","Day Shift (8AM - 4PM)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173513002000","1              "
"20007761","2/11","2020","Last Half (Midnight - 8AM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173502022006","4              "
"20008373","2/13","2020","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061006","1              "
"20011015","2/26","2020","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173512031000","2              "
"20014467","3/13","2020","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173502013005","1              "
"20015396","3/19","2020","Day Shift (8AM - 4PM)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173501091019","4              "
"20031731","6/25","2020","Day Shift (8AM - 4PM)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173511013003","3              "
"20033709","7/7","2020","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061007","1              "
"20037523","8/2","2020","Day Shift (8AM - 4PM)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173512042003","2              "
"20038474","8/7","2020","First Half (4PM - Midnight)","23D","Theft From Building","The unlawful taking of items from within a building which is either open to the general public or to which the offender has legal access.","Larceny/Theft Offenses","Crimes against Property","250173507011007","7              "
"20043265","9/8","2020","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173512041010","2              "
"20045574","9/23","2020","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173514033002","1              "
"20048065","10/5","2020","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173514043003","1              "
"20052532","10/29","2020","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509003017","6              "
"20053050","11/1","2020","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173507011008","7              "
"17000627","1/4","2017","First Half (4PM - Midnight)","991, 998, 999","Other Criminal MV Offenses","Other Criminal MV Offenses represent select criminal motor vehicle offenses (with the exception of Driving Under the Influence, Hit and Run of a person, and Vehicular Manslaughter). Examples include: Unlicensed Operation of MV; Attaching Wrong MV Plates; Uninsured MV (Criminal); and Leave Scene of Property Damage.","Other Criminal MV Offenses","Other","250173514032001","1              "
"17000652","1/4","2017","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"17000797","1/5","2017","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509003018","6              "
"20056711","11/22","2020","Day Shift (8AM - 4PM)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173501061015","1              "
"20057154","11/25","2020","Last Half (Midnight - 8AM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173509003001","6              "
"20062282","12/26","2020","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173509003017","6              "
"21001554","1/11","2021","Day Shift (8AM - 4PM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173512041003","2              "
"21006367","2/3","2021","First Half (4PM - Midnight)","90D","Driving Under The Influence","Driving or operating a motor vehicle or common carrier while mentally or physically impaired as the result of consuming an alcoholic beverage or using a drug or narcotic.","Driving Under The Influence","Other","250173505002006","7              "
"21007910","2/13","2021","Day Shift (8AM - 4PM)","35A","Drug/Narcotic Violations","The unlawful cultivation, manufacture, distribution, sale, purchase, use, possession, transportation, or importation of any controlled substance.","Drug/Narcotics Offenses","Crimes against Society","250173512032000","2              "
"21011195","3/4","2021","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061003","1              "
"21016456","4/1","2021","First Half (4PM - Midnight)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173513002007","3              "
"21018638","4/14","2021","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173511013005","3              "
"21025988","5/24","2021","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501081005","4              "
"21030186","6/15","2021","Day Shift (8AM - 4PM)","26B","Credit Card/Atm Machine Fraud","The unlawful use of a credit/debit card, credit/debit card number, or automatic teller machine for fraudulent purposes.","Fraud Offenses","Crimes against Property","250173507022001","7              "
"21032349","6/26","2021","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061014","1              "
"21036422","7/16","2021","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173514042005","4              "
"21037748","7/22","2021","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173501061004","1              "
"21039808","8/1","2021","First Half (4PM - Midnight)","23C","Shoplifting","The unlawful taking of goods or merchandise exposed for sale by a person (other than an employee).","Larceny/Theft Offenses","Crimes against Property","250173515001007","2              "
"21043391","8/20","2021","Day Shift (8AM - 4PM)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173514042000","1              "
"21047637","9/11","2021","First Half (4PM - Midnight)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173514041003","1              "
"21054034","10/14","2021","Last Half (Midnight - 8AM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173510022004","5              "
"21054838","10/18","2021","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173504004006","6              "
"21059399","11/11","2021","First Half (4PM - Midnight)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173501081005","4              "
"21064134","12/12","2021","First Half (4PM - Midnight)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173514031003","1              "
"22002941","1/19","2022","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173511013009","3              "
"22004965","2/1","2022","Last Half (Midnight - 8AM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173511011003","5              "
"22007541","2/14","2022","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501061012","1              "
"22009292","2/23","2022","Day Shift (8AM - 4PM)","220","Burglary/Breaking And Entering","The unlawful entry into a building or some other structure to commit a felony or a theft.","Burglary/Breaking And Entering","Crimes against Property","250173512042010","2              "
"22010455","2/28","2022","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173513003000","3              "
"22010944","3/3","2022","Last Half (Midnight - 8AM)","240","Motor Vehicle Theft","A motor vehicle is a self-propelled vehicle that runs on the surface of land and not on rails that is not proceeds of another crime. It must meet specific NIBRS definitions.","Motor Vehicle Theft","Crimes against Property","250173507011002","7              "
"22012195","3/8","2022","First Half (4PM - Midnight)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173506004000","6              "
"22017904","4/4","2022","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173501081005","4              "
"22020672","4/17","2022","First Half (4PM - Midnight)","23F","Theft From Motor Vehicle","The unlawful taking of articles from a motor vehicle, locked or unlocked.","Theft From Motor Vehicle","Crimes against Property","250173501061008","1              "
"22021815","4/22","2022","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173514043005","1              "
"22022511","4/26","2022","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173511013009","3              "
"22025538","5/9","2022","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173510012003","2              "
"22026984","5/15","2022","First Half (4PM - Midnight)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173515003005","2              "
"22027729","5/18","2022","First Half (4PM - Midnight)","13A","Aggravated Assault","An unlawful attack by one person upon another wherein the offender uses a dangerous weapon or displays it in a threatening manner or the victim suffers obvious severe or aggravated bodily injury, or where there was a risk for serious injury/intent to seriously injure.","Assault Offenses","Crimes against Person","250173514034003","1              "
"22031943","6/7","2022","Day Shift (8AM - 4PM)","23H","All Other Larceny","All thefts which do not fit any of the Larceny/Theft or specific subcategories identified.","Larceny/Theft Offenses","Crimes against Property","250173511021000","3              "
"22032335","6/9","2022","Day Shift (8AM - 4PM)","290","Destruction/Vandalism Property","To willfully or maliciously destroy, damage, deface, or otherwise injure any public or private property without the consent of the owner or the person having custody or control of it.","Destruction/Vandalism Property","Crimes against Property","250173513001000","3              "
